,0,1,2
601,sh.600527,1,江南高纤
602,sh.600528,1,中铁工业
603,sh.600529,1,山东药玻
604,sh.600530,1,交大昂立
605,sh.600531,1,豫光金铅
606,sh.600533,1,栖霞建设
607,sh.600535,1,天士力
608,sh.600536,1,中国软件
609,sh.600537,1,亿晶光电
610,sh.600538,1,国发股份
611,sh.600539,1,狮头股份
612,sh.600540,1,新赛股份
613,sh.600543,1,莫高股份
614,sh.600545,1,卓郎智能
615,sh.600546,1,山煤国际
616,sh.600547,1,山东黄金
617,sh.600548,1,深高速
618,sh.600549,1,厦门钨业
619,sh.600550,1,保变电气
620,sh.600551,1,时代出版
621,sh.600552,1,凯盛科技
622,sh.600556,1,天下秀
623,sh.600557,1,康缘药业
624,sh.600558,1,大西洋
625,sh.600559,1,老白干酒
626,sh.600560,1,金自天正
627,sh.600561,1,江西长运
628,sh.600562,1,国睿科技
629,sh.600563,1,法拉电子
630,sh.600566,1,济川药业
631,sh.600567,1,山鹰国际
632,sh.600568,1,ST中珠
633,sh.600569,1,安阳钢铁
634,sh.600570,1,恒生电子
635,sh.600571,1,信雅达
636,sh.600572,1,康恩贝
637,sh.600573,1,惠泉啤酒
638,sh.600575,0,淮河能源
639,sh.600576,1,祥源文旅
640,sh.600577,1,精达股份
641,sh.600578,1,京能电力
642,sh.600579,1,克劳斯
643,sh.600580,1,卧龙电驱
644,sh.600581,1,八一钢铁
645,sh.600582,1,天地科技
646,sh.600583,1,海油工程
647,sh.600584,1,长电科技
648,sh.600585,1,海螺水泥
649,sh.600586,1,金晶科技
650,sh.600587,1,新华医疗
651,sh.600588,1,用友网络
652,sh.600589,1,大位科技
653,sh.600590,1,泰豪科技
654,sh.600592,1,龙溪股份
655,sh.600593,1,大连圣亚
656,sh.600594,1,益佰制药
657,sh.600595,1,中孚实业
658,sh.600596,1,新安股份
659,sh.600597,1,光明乳业
660,sh.600598,1,北大荒
661,sh.600599,1,ST熊猫
662,sh.600600,1,青岛啤酒
663,sh.600601,1,方正科技
664,sh.600602,1,云赛智联
665,sh.600603,1,ST广物
666,sh.600604,1,市北高新
667,sh.600605,1,汇通能源
668,sh.600606,1,绿地控股
669,sh.600608,1,ST沪科
670,sh.600609,1,金杯汽车
671,sh.600610,1,中毅达
672,sh.600611,1,大众交通
673,sh.600612,1,老凤祥
674,sh.600613,1,神奇制药
675,sh.600615,1,丰华股份
676,sh.600616,1,金枫酒业
677,sh.600617,1,国新能源
678,sh.600618,1,氯碱化工
679,sh.600619,1,海立股份
680,sh.600620,1,天宸股份
681,sh.600621,1,华鑫股份
682,sh.600622,1,光大嘉宝
683,sh.600623,1,华谊集团
684,sh.600624,1,复旦复华
685,sh.600626,1,申达股份
686,sh.600628,1,新世界
687,sh.600629,1,华建集团
688,sh.600630,1,龙头股份
689,sh.600633,1,浙数文化
690,sh.600635,1,大众公用
691,sh.600636,1,国新文化
692,sh.600637,1,东方明珠
693,sh.600638,1,新黄浦
694,sh.600639,1,浦东金桥
695,sh.600640,1,国脉文化
696,sh.600641,1,万业企业
697,sh.600642,1,申能股份
698,sh.600643,1,爱建集团
699,sh.600644,1,乐山电力
700,sh.600645,1,中源协和
701,sh.600648,1,外高桥
702,sh.600649,1,城投控股
703,sh.600650,1,锦江在线
704,sh.600651,1,飞乐音响
705,sh.600653,1,申华控股
706,sh.600654,1,中安科
707,sh.600655,1,豫园股份
708,sh.600657,1,信达地产
709,sh.600658,1,电子城
710,sh.600660,1,福耀玻璃
711,sh.600661,1,昂立教育
712,sh.600662,1,外服控股
713,sh.600663,1,陆家嘴
714,sh.600664,1,哈药股份
715,sh.600665,1,天地源
716,sh.600666,1,奥瑞德
717,sh.600667,1,太极实业
718,sh.600668,1,尖峰集团
719,sh.600671,1,ST目药
720,sh.600673,1,东阳光
721,sh.600674,1,川投能源
722,sh.600675,1,中华企业
723,sh.600676,1,交运股份
